,cdf,Time per Output Token
0,0.0,0.0026452161988020626
1,0.01,0.0026452161988020626
2,0.02,0.0026452161988020626
3,0.03,0.0026452161988020626
4,0.04,0.0026452161988020626
5,0.05,0.0026452161988020626
6,0.06,0.0026452161988020626
7,0.07,0.0026452161988020626
8,0.08,0.0026452161988020626
9,0.09,0.0026452161988020626
10,0.1,0.0026452161988020626
11,0.11,0.0026452161988020626
12,0.12,0.002661135210579521
13,0.13,0.002661135210579521
14,0.14,0.002661135210579521
15,0.15,0.002661135210579521
16,0.16,0.002661135210579521
17,0.17,0.002661135210579521
18,0.18,0.002661135210579521
19,0.19,0.002661135210579521
20,0.2,0.002661135210579521
21,0.21,0.002661135210579521
22,0.22,0.002661135210579521
23,0.23,0.0026825096832826926
24,0.24,0.0026825096832826926
25,0.25,0.0026825096832826926
26,0.26,0.0026825096832826926
27,0.27,0.0026825096832826926
28,0.28,0.0026825096832826926
29,0.29,0.0026825096832826926
30,0.3,0.0026825096832826926
31,0.31,0.0026825096832826926
32,0.32,0.0026825096832826926
33,0.33,0.0026825096832826926
34,0.34,0.0027975745770570477
35,0.35000000000000003,0.0027975745770570477
36,0.36,0.0027975745770570477
37,0.37,0.0027975745770570477
38,0.38,0.0027975745770570477
39,0.39,0.0027975745770570477
40,0.4,0.0027975745770570477
41,0.41000000000000003,0.0027975745770570477
42,0.42,0.0027975745770570477
43,0.43,0.0027975745770570477
44,0.44,0.0027975745770570477
45,0.45,0.0028770136487447045
46,0.46,0.0028770136487447045
47,0.47000000000000003,0.0028770136487447045
48,0.48,0.0028770136487447045
49,0.49,0.0028770136487447045
50,0.5,0.0028770136487447045
51,0.51,0.0028770136487447045
52,0.52,0.0028770136487447045
53,0.53,0.0028770136487447045
54,0.54,0.0028770136487447045
55,0.55,0.0028770136487447045
56,0.56,0.003376206972858198
57,0.5700000000000001,0.003376206972858198
58,0.58,0.003376206972858198
59,0.59,0.003376206972858198
60,0.6,0.003376206972858198
61,0.61,0.003376206972858198
62,0.62,0.003376206972858198
63,0.63,0.003376206972858198
64,0.64,0.003376206972858198
65,0.65,0.003376206972858198
66,0.66,0.003376206972858198
67,0.67,0.0034790278175375077
68,0.68,0.0034790278175375077
69,0.6900000000000001,0.0034790278175375077
70,0.7000000000000001,0.0034790278175375077
71,0.71,0.0034790278175375077
72,0.72,0.0034790278175375077
73,0.73,0.0034790278175375077
74,0.74,0.0034790278175375077
75,0.75,0.0034790278175375077
76,0.76,0.0034790278175375077
77,0.77,0.0034790278175375077
78,0.78,0.003930446106909064
79,0.79,0.003930446106909064
80,0.8,0.003930446106909064
81,0.81,0.003930446106909064
82,0.8200000000000001,0.003930446106909064
83,0.8300000000000001,0.003930446106909064
84,0.84,0.003930446106909064
85,0.85,0.003930446106909064
86,0.86,0.003930446106909064
87,0.87,0.003930446106909064
88,0.88,0.003930446106909064
89,0.89,0.0042070132550399405
90,0.9,0.0042070132550399405
91,0.91,0.0042070132550399405
92,0.92,0.0042070132550399405
93,0.93,0.0042070132550399405
94,0.9400000000000001,0.0042070132550399405
95,0.9500000000000001,0.0042070132550399405
96,0.96,0.0042070132550399405
97,0.97,0.0042070132550399405
98,0.98,0.0042070132550399405
99,0.99,0.0042070132550399405
100,1.0,0.007379848741329812
