,cdf,Time to First Token
0,0.0,0.0381968744142284
1,0.01,0.0381968744142284
2,0.02,0.0381968744142284
3,0.03,0.0381968744142284
4,0.04,0.0381968744142284
5,0.05,0.0381968744142284
6,0.06,0.0381968744142284
7,0.07,0.0381968744142284
8,0.08,0.0381968744142284
9,0.09,0.0381968744142284
10,0.1,0.0381968744142284
11,0.11,0.0381968744142284
12,0.12,0.040075040401723556
13,0.13,0.040075040401723556
14,0.14,0.040075040401723556
15,0.15,0.040075040401723556
16,0.16,0.040075040401723556
17,0.17,0.040075040401723556
18,0.18,0.040075040401723556
19,0.19,0.040075040401723556
20,0.2,0.040075040401723556
21,0.21,0.040075040401723556
22,0.22,0.040075040401723556
23,0.23,0.04656055654547099
24,0.24,0.04656055654547099
25,0.25,0.04656055654547099
26,0.26,0.04656055654547099
27,0.27,0.04656055654547099
28,0.28,0.04656055654547099
29,0.29,0.04656055654547099
30,0.3,0.04656055654547099
31,0.31,0.04656055654547099
32,0.32,0.04656055654547099
33,0.33,0.04656055654547099
34,0.34,0.06987821156416514
35,0.35000000000000003,0.06987821156416514
36,0.36,0.06987821156416514
37,0.37,0.06987821156416514
38,0.38,0.06987821156416514
39,0.39,0.06987821156416514
40,0.4,0.06987821156416514
41,0.41000000000000003,0.06987821156416514
42,0.42,0.06987821156416514
43,0.43,0.06987821156416514
44,0.44,0.06987821156416514
45,0.45,0.0711474082978508
46,0.46,0.0711474082978508
47,0.47000000000000003,0.0711474082978508
48,0.48,0.0711474082978508
49,0.49,0.0711474082978508
50,0.5,0.0711474082978508
51,0.51,0.0711474082978508
52,0.52,0.0711474082978508
53,0.53,0.0711474082978508
54,0.54,0.0711474082978508
55,0.55,0.0711474082978508
56,0.56,0.08233151367876917
57,0.5700000000000001,0.08233151367876917
58,0.58,0.08233151367876917
59,0.59,0.08233151367876917
60,0.6,0.08233151367876917
61,0.61,0.08233151367876917
62,0.62,0.08233151367876917
63,0.63,0.08233151367876917
64,0.64,0.08233151367876917
65,0.65,0.08233151367876917
66,0.66,0.08233151367876917
67,0.67,0.1280926837875271
68,0.68,0.1280926837875271
69,0.6900000000000001,0.1280926837875271
70,0.7000000000000001,0.1280926837875271
71,0.71,0.1280926837875271
72,0.72,0.1280926837875271
73,0.73,0.1280926837875271
74,0.74,0.1280926837875271
75,0.75,0.1280926837875271
76,0.76,0.1280926837875271
77,0.77,0.1280926837875271
78,0.78,0.1357417404747604
79,0.79,0.1357417404747604
80,0.8,0.1357417404747604
81,0.81,0.1357417404747604
82,0.8200000000000001,0.1357417404747604
83,0.8300000000000001,0.1357417404747604
84,0.84,0.1357417404747604
85,0.85,0.1357417404747604
86,0.86,0.1357417404747604
87,0.87,0.1357417404747604
88,0.88,0.1357417404747604
89,0.89,1.3730020305046284
90,0.9,1.3730020305046284
91,0.91,1.3730020305046284
92,0.92,1.3730020305046284
93,0.93,1.3730020305046284
94,0.9400000000000001,1.3730020305046284
95,0.9500000000000001,1.3730020305046284
96,0.96,1.3730020305046284
97,0.97,1.3730020305046284
98,0.98,1.3730020305046284
99,0.99,1.3730020305046284
100,1.0,1.5511547387956395
